url,length,subdomain_count,has_special_chars,entropy,label
https://update.microsoft.com,29,2,0,,0
https://measure.office.com,27,2,0,,0
https://opendns.com,20,1,0,,0
https://fp.measure.office.com,30,3,0,,0
https://roaming.officeapps.live.com,36,3,0,,0
https://storage.live.com,25,2,0,,0
https://prod.netflix.com,25,2,0,,0
https://push.prod.netflix.com,30,3,0,,0
https://ogads-pa.clients6.google.com,37,3,0,,0
https://googlesyndication.com,30,1,0,,0
https://fe2.apple-dns.net,26,2,0,,0
https://mask.apple-dns.net,27,2,0,,0
https://ocsp2.apple.com,24,2,0,,0
https://us-v10c.events.data.microsoft.com,42,4,0,,0
https://yahoo.com,18,1,0,,0
https://v20.events.data.microsoft.com,38,4,0,,0
https://www.facebook.com,25,2,0,,0
https://browser.events.data.microsoft.com,42,4,0,,0
https://nrdp-ipv6.prod.ftl.netflix.com,39,4,0,,0
https://upload.fp.measure.office.com,37,4,0,,0
https://api.amazon.com,23,2,0,,0
https://gvt2.com,17,1,0,,0
https://itunes-apple.com.akadns.net,36,3,0,,0
https://apple.com.akadns.net,29,3,0,,0
https://fbcdn.net,18,1,0,,0
https://pagead2.googlesyndication.com,38,2,0,,0
https://outlook.com,20,1,0,,0
https://ntp.org,16,1,0,,0
https://pool.ntp.org,21,2,0,,0
https://sentry.io,18,1,0,,0
https://fe3cr.delivery.mp.microsoft.com,40,4,0,,0
https://netflix.net,20,1,0,,0
https://partner.netflix.net,28,2,0,,0
https://prod.partner.netflix.net,33,3,0,,0
https://graph.facebook.com,27,2,0,,0
https://api.msn.com,20,2,0,,0
https://gdmf.apple.com,23,2,0,,0
https://msftconnecttest.com,28,1,0,,0
https://preapp.prod.partner.netflix.net,40,4,0,,0
https://mask-h2.icloud.com,27,2,0,,0
https://gcp.gvt2.com,21,2,0,,0
https://beacons.gcp.gvt2.com,29,3,0,,0
https://static.microsoft,25,1,0,,0
https://cloudapp.azure.com,27,2,0,,0
https://gvt1.com,17,1,0,,0
https://trouter.teams.microsoft.com,36,3,0,,0
https://www.msftconnecttest.com,32,2,0,,0
https://dl.delivery.mp.microsoft.com,37,4,0,,0
https://geo.prod.do.dsp.mp.microsoft.com,41,6,0,,0
https://th.bing.com,20,2,0,,0
https://wd.microsoft.com,25,2,0,,0
https://us-west-2.amazonaws.com,32,2,0,,0
https://img-s-msn-com.akamaized.net,36,2,0,,0
https://aa-rt.sharepoint.com,29,2,0,,0
https://gateway.icloud.com,27,2,0,,0
https://cp.wd.microsoft.com,28,3,0,,0
https://fastly.net,19,1,0,,0
https://tlu.dl.delivery.mp.microsoft.com,41,5,0,,0
https://odc.officeapps.live.com,32,3,0,,0
https://ls-apple.com.akadns.net,32,3,0,,0
https://configuration.ls.apple.com,35,3,0,,0
https://gsp-ssl.ls.apple.com,29,3,0,,0
https://ess.apple.com,22,2,0,,0
https://exo.nel.measure.office.net,35,4,0,,0
https://clients.google.com,27,2,0,,0
https://android.clients.google.com,35,3,0,,0
https://ocsp2-lb.apple.com.akadns.net,38,4,0,,0
https://sfx.ms,15,1,0,,0
https://oneclient.sfx.ms,25,2,0,,0
https://kv601.prod.do.dsp.mp.microsoft.com,43,6,0,,0
https://entrust.net,20,1,0,,0
https://cdn-apple.com,22,1,0,,0
https://ocsp.entrust.net,25,2,0,,0
https://mesu.apple.com,23,2,0,,0
https://ad.doubleclick.net,27,2,0,,0
https://crl3.digicert.com,26,2,0,,0
https://xx.fbcdn.net,21,2,0,,0
https://doh.opendns.com,24,2,0,,0
https://aria.microsoft.com,27,2,0,,0
https://global.aa-rt.sharepoint.com,36,3,0,,0
https://gr.global.aa-rt.sharepoint.com,39,4,0,,0
https://pipe.aria.microsoft.com,32,3,0,,0
https://apis.google.com,24,2,0,,0
https://me.gvt1.com,20,2,0,,0
https://edgedl.me.gvt1.com,27,3,0,,0
