api,count,package_name,label
dns.getServers,1,act-rules.github.io-1.0.10,1
querystring.stringify,1,act-rules.github.io-1.0.10,1
https.request,1,act-rules.github.io-1.0.10,1
require("https"),1,act-rules.github.io-1.0.10,1
os.homedir,1,act-rules.github.io-1.0.10,1
os.hostname,1,act-rules.github.io-1.0.10,1
os.userInfo,1,act-rules.github.io-1.0.10,1
dns.getServers,1,act-rules.github.io-1.0.10,1
querystring.stringify,1,act-rules.github.io-1.0.10,1
https.request,1,act-rules.github.io-1.0.10,1
require("https"),1,act-rules.github.io-1.0.10,1
os.homedir,1,act-rules.github.io-1.0.10,1
os.hostname,1,act-rules.github.io-1.0.10,1
os.userInfo,1,act-rules.github.io-1.0.10,1
dns.getServers,1,act-rules.github.io-1.0.10,1
querystring.stringify,1,act-rules.github.io-1.0.10,1
https.request,1,act-rules.github.io-1.0.10,1
require("https"),1,act-rules.github.io-1.0.10,1
os.homedir,1,act-rules.github.io-1.0.10,1
os.hostname,1,act-rules.github.io-1.0.10,1
os.userInfo,1,act-rules.github.io-1.0.10,1
dns.getServers,1,act-rules.github.io-1.0.10,1
querystring.stringify,1,act-rules.github.io-1.0.10,1
require\s*\(\s*[\'"]https[\'"]\s*\) @ line 4,1,act-rules.github.io-1.0.10,M3
os\s*\.\s*homedir @ line 41,1,act-rules.github.io-1.0.10,M1
os\s*\.\s*userInfo @ line 43,1,act-rules.github.io-1.0.10,M1
dns\s*\.\s*getServers @ line 44,1,act-rules.github.io-1.0.10,M1
querystring\s*\.\s*stringify @ line 52,1,act-rules.github.io-1.0.10,M1
https\s*\.\s*request @ line 67,1,act-rules.github.io-1.0.10,M1
require\s*\(\s*[\'"]https[\'"]\s*\) @ line 4,1,act-rules.github.io-1.0.10,M3
os\s*\.\s*homedir @ line 41,1,act-rules.github.io-1.0.10,M1
os\s*\.\s*userInfo @ line 43,1,act-rules.github.io-1.0.10,M1
dns\s*\.\s*getServers @ line 44,1,act-rules.github.io-1.0.10,M1
querystring\s*\.\s*stringify @ line 52,1,act-rules.github.io-1.0.10,M1
https\s*\.\s*request @ line 67,1,act-rules.github.io-1.0.10,M1
